date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:26	36297/36297	---M--	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2014:16:18%20GMT	http://www.ecologytheme.com/theme/eduwise/course.html	C:/My%20Web%20Sites/webv1/www.ecologytheme.com/theme/eduwise/course.html	(from )
21:45:28	121/121	---MC-	200	added ('OK')	text/plain	date:Mon,%2010%20Mar%202025%2016:15:26%20GMT	http://www.ecologytheme.com/robots.txt		(from )
21:45:28	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Sun,%2028%20Apr%202024%2014:17:16%20GMT	http://www.ecologytheme.com/theme/eduwise/images/favicon.ico	C:/My%20Web%20Sites/webv1/www.ecologytheme.com/theme/eduwise/images/favicon.ico	(from http://www.ecologytheme.com/theme/eduwise/course.html)
21:45:30	140936/140936	---M--	200	added ('OK')	text/css	date:Sun,%2028%20Apr%202024%2014:16:53%20GMT	http://www.ecologytheme.com/theme/eduwise/css/assets/bootstrap.min.css	C:/My%20Web%20Sites/webv1/www.ecologytheme.com/theme/eduwise/css/assets/bootstrap.min.css	(from http://www.ecologytheme.com/theme/eduwise/course.html)
21:45:30	41066/41066	---M--	200	added ('OK')	text/css	date:Sun,%2028%20Apr%202024%2014:16:51%20GMT	http://www.ecologytheme.com/theme/eduwise/css/assets/font-awesome.min.css	C:/My%20Web%20Sites/webv1/www.ecologytheme.com/theme/eduwise/css/assets/font-awesome.min.css	(from http://www.ecologytheme.com/theme/eduwise/course.html)
21:45:31	2883/2883	---M--	200	added ('OK')	text/css	date:Sun,%2028%20Apr%202024%2014:16:58%20GMT	http://www.ecologytheme.com/theme/eduwise/css/assets/flaticon.css	C:/My%20Web%20Sites/webv1/www.ecologytheme.com/theme/eduwise/css/assets/flaticon.css	(from http://www.ecologytheme.com/theme/eduwise/course.html)
21:45:31	6951/6951	---M--	200	added ('OK')	text/css	date:Sun,%2028%20Apr%202024%2014:16:56%20GMT	http://www.ecologytheme.com/theme/eduwise/css/assets/magnific-popup.css	C:/My%20Web%20Sites/webv1/www.ecologytheme.com/theme/eduwise/css/assets/magnific-popup.css	(from http://www.ecologytheme.com/theme/eduwise/course.html)
21:45:32	1476/1476	---M--	200	added ('OK')	text/css	date:Sun,%2028%20Apr%202024%2014:16:51%20GMT	http://www.ecologytheme.com/theme/eduwise/css/assets/owl.carousel.css	C:/My%20Web%20Sites/webv1/www.ecologytheme.com/theme/eduwise/css/assets/owl.carousel.css	(from http://www.ecologytheme.com/theme/eduwise/course.html)
21:45:32	1606/1606	---M--	200	added ('OK')	text/css	date:Sun,%2028%20Apr%202024%2014:16:58%20GMT	http://www.ecologytheme.com/theme/eduwise/css/assets/owl.theme.css	C:/My%20Web%20Sites/webv1/www.ecologytheme.com/theme/eduwise/css/assets/owl.theme.css	(from http://www.ecologytheme.com/theme/eduwise/course.html)
21:45:34	81370/81370	---M--	200	added ('OK')	text/css	date:Sun,%2028%20Apr%202024%2014:16:54%20GMT	http://www.ecologytheme.com/theme/eduwise/css/assets/animate.css	C:/My%20Web%20Sites/webv1/www.ecologytheme.com/theme/eduwise/css/assets/animate.css	(from http://www.ecologytheme.com/theme/eduwise/course.html)
